Model,Scenario,Format,Success,RulesFired,GenerationTimeMs,ErrorMessage
qwen2.5-coder:14b-instruct-q4_K_M,Adult Validation,DRL,true,1,14052,
qwen2.5-coder:14b-instruct-q4_K_M,Adult Validation,YAML,true,1,3081,
qwen2.5-coder:14b-instruct-q4_K_M,Senior Citizen Discount,DRL,true,2,4301,
qwen2.5-coder:14b-instruct-q4_K_M,Senior Citizen Discount,YAML,true,2,5106,
qwen2.5-coder:14b-instruct-q4_K_M,Order Discount - Basic,DRL,true,1,3326,
qwen2.5-coder:14b-instruct-q4_K_M,Order Discount - Basic,YAML,true,1,4678,
qwen2.5-coder:14b-instruct-q4_K_M,Order Discount - Tiered,DRL,true,1,7288,
qwen2.5-coder:14b-instruct-q4_K_M,Order Discount - Tiered,YAML,true,1,9143,
qwen2.5-coder:14b-instruct-q4_K_M,Simple Calculation,DRL,true,1,4142,
qwen2.5-coder:14b-instruct-q4_K_M,Simple Calculation,YAML,false,0,4148,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=10, column=0
   text=Rule Compilation error The method setTaxAmount(double) in the type Invoice is not applicable for the arguments (String)
The method setTotal(double) in the type Invoice is not applicable for the arguments (String)]]"
qwen2.5-coder:14b-instruct-q4_K_M,Email Validation,DRL,true,1,2347,
qwen2.5-coder:14b-instruct-q4_K_M,Email Validation,YAML,true,1,2990,
qwen2.5-coder:14b-instruct-q4_K_M,Password Strength,DRL,true,1,5902,
qwen2.5-coder:14b-instruct-q4_K_M,Password Strength,YAML,true,1,6954,
qwen2.5-coder:14b-instruct-q4_K_M,Age Classification,DRL,true,1,6665,
qwen2.5-coder:14b-instruct-q4_K_M,Age Classification,YAML,true,1,9503,
qwen2.5-coder:14b-instruct-q4_K_M,Shipping Cost,DRL,true,1,7566,
qwen2.5-coder:14b-instruct-q4_K_M,Shipping Cost,YAML,true,1,7388,
qwen2.5-coder:14b-instruct-q4_K_M,Loyalty Points,DRL,true,1,3043,
qwen2.5-coder:14b-instruct-q4_K_M,Loyalty Points,YAML,false,0,3471,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=9, column=0
   text=Rule Compilation error The method setPoints(int) in the type Purchase is not applicable for the arguments (String)]]"
qwen2.5-coder:14b-instruct-q4_K_M,Inventory Alert,DRL,true,1,2721,
qwen2.5-coder:14b-instruct-q4_K_M,Inventory Alert,YAML,true,1,3586,
qwen2.5-coder:14b-instruct-q4_K_M,Loan Eligibility,DRL,true,1,3693,
qwen2.5-coder:14b-instruct-q4_K_M,Loan Eligibility,YAML,true,1,5232,
qwen2.5-coder:14b-instruct-q4_K_M,Insurance Premium Tier,DRL,true,1,6606,
qwen2.5-coder:14b-instruct-q4_K_M,Insurance Premium Tier,YAML,true,1,8230,
qwen2.5-coder:14b-instruct-q4_K_M,Tax Bracket,DRL,true,1,7193,
qwen2.5-coder:14b-instruct-q4_K_M,Tax Bracket,YAML,true,1,9217,
qwen2.5-coder:14b-instruct-q4_K_M,Status Transition,DRL,true,1,3876,
qwen2.5-coder:14b-instruct-q4_K_M,Status Transition,YAML,true,1,3956,
qwen2.5-coder:14b-instruct-q4_K_M,Priority Assignment,DRL,true,1,6123,
qwen2.5-coder:14b-instruct-q4_K_M,Priority Assignment,YAML,true,1,8664,
qwen2.5-coder:14b-instruct-q4_K_M,Grade Calculation,DRL,true,1,7866,
qwen2.5-coder:14b-instruct-q4_K_M,Grade Calculation,YAML,true,1,11987,
