Model,Scenario,Format,Success,RulesFired,GenerationTimeMs,ErrorMessage
granite4,Adult Validation,DRL,true,1,7673,
granite4,Adult Validation,YAML,true,1,767,
granite4,Adult Validation,ENGLISH,true,1,1335,
granite4,Senior Citizen Discount,DRL,false,0,981,"ERROR: [ERR 102] Line 11:4 mismatched input 'ruleflow' in rule ""MarkSeniorIf65""
ERROR: [ERR 102] Line 20:4 mismatched input 'ruleflow' in rule ""ApplyDiscountForSeniors""
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Senior Citizen Discount,YAML,true,2,1084,
granite4,Senior Citizen Discount,ENGLISH,false,0,1542,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=16, column=0
   text=Rule Compilation error The method setDiscountPercent(int) is undefined for the type Person]]"
granite4,Order Discount - Basic,DRL,false,0,695,"ERROR: [ERR 102] Line 4:10 mismatched input '{'
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Order Discount - Basic,YAML,true,1,875,
granite4,Order Discount - Basic,ENGLISH,true,1,1540,
granite4,Order Discount - Tiered,DRL,false,0,1672,"ERROR: [ERR 102] Line 4:20 mismatched input 'int'
ERROR: [ERR 102] Line 5:10 mismatched input 'double'
ERROR: [ERR 102] Line 6:17 mismatched input 'String'
ERROR: [ERR 102] Line 7:12 mismatched input 'String'
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Order Discount - Tiered,YAML,true,1,2271,
granite4,Order Discount - Tiered,ENGLISH,false,0,3716,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=20, column=0
   text=Rule Compilation error The method modify(Order) is undefined for the type Rule_Apply_10$u37$_GOLD_Discount268627312
Syntax error, insert "";"" to complete Statement
The method setDiscountPercent(int) is undefined for the type Rule_Apply_10$u37$_GOLD_Discount268627312
The method setDiscountTier(String) is undefined for the type Rule_Apply_10$u37$_GOLD_Discount268627312], Message [id=2, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=30, column=0
   text=Rule Compilation error The method modify(Order) is undefined for the type Rule_Apply_5$u37$_SILVER_Discount2060227483
Syntax error, insert "";"" to complete Statement
The method setDiscountPercent(int) is undefined for the type Rule_Apply_5$u37$_SILVER_Discount2060227483
The method setDiscountTier(String) is undefined for the type Rule_Apply_5$u37$_SILVER_Discount2060227483], Message [id=3, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=10, column=0
   text=Rule Compilation error The method modify(Order) is undefined for the type Rule_Apply_15$u37$_PREMIUM_Discount1637701496
Syntax error, insert "";"" to complete Statement
The method setDiscountPercent(int) is undefined for the type Rule_Apply_15$u37$_PREMIUM_Discount1637701496
The method setDiscountTier(String) is undefined for the type Rule_Apply_15$u37$_PREMIUM_Discount1637701496]]"
granite4,Simple Calculation,DRL,false,0,777,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=-1, column=0
   text=Unable to Analyse Expression subtotal == $subtotal:
[Error: unable to resolve method using strict-mode: org.drools.generated.Invoice.$subtotal()]
[Near : {... subtotal == $subtotal ....}]
                         ^], Message [id=2, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=9, column=0
   text=Rule Compilation error The method modify(Invoice) is undefined for the type Rule_CalculateTax710968977
Syntax error, insert "";"" to complete Statement
$subtotal cannot be resolved to a variable
$subtotal cannot be resolved to a variable
$subtotal cannot be resolved to a variable]]"
granite4,Simple Calculation,YAML,true,1,897,
granite4,Simple Calculation,ENGLISH,false,0,1658,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=10, column=0
   text=Rule Compilation error The method modify(Invoice) is undefined for the type Rule_Calculate_Tax_and_Total1830422473
Syntax error, insert "";"" to complete Statement
The method setTaxAmount(double) is undefined for the type Rule_Calculate_Tax_and_Total1830422473
The method setTotal(double) is undefined for the type Rule_Calculate_Tax_and_Total1830422473]]"
granite4,Email Validation,DRL,false,0,694,"ERROR: [ERR 102] Line 4:17 mismatched input ':'
ERROR: [ERR 102] Line 12:36 mismatched input '=' in rule ""Check if email contains @""
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Email Validation,YAML,false,0,536,"ERROR: Missing type definition for fact type: EmailAddress
ERROR: Field 'email' used in rule but not declared in definition of type 'EmailAddress'"
granite4,Email Validation,ENGLISH,false,0,1173,Execution successful
granite4,Password Strength,DRL,true,1,1106,
granite4,Password Strength,YAML,true,1,1654,
granite4,Password Strength,ENGLISH,true,1,2462,
granite4,Age Classification,DRL,false,0,1355,"ERROR: [ERR 102] Line 4:7 mismatched input '{'
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Age Classification,YAML,false,0,2068,"YAML parsing error: while scanning a simple key
 in 'string', line 21, column 5:
        ---
        ^
could not find expected ':'
 in 'string', line 23, column 5:
        - name: ""Classify Person by Age""
        ^
"
granite4,Age Classification,ENGLISH,true,1,3225,
granite4,Shipping Cost,DRL,true,1,1120,
granite4,Shipping Cost,YAML,true,1,1785,
granite4,Shipping Cost,ENGLISH,true,1,2645,
granite4,Loyalty Points,DRL,false,0,605,"ERROR: [ERR 102] Line 4:13 mismatched input '{'
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Loyalty Points,YAML,false,0,790,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=9, column=0
   text=Rule Compilation error The method setPoints(int) in the type Purchase is not applicable for the arguments (String)]]"
granite4,Loyalty Points,ENGLISH,false,0,1487,"Execution failed: Failed to execute DRL with JSON facts: DRL compilation errors: [Message [id=1, kieBase=defaultKieBase, level=ERROR, path=file0.drl, line=9, column=0
   text=Rule Compilation error The method setPoints(int) in the type Purchase is not applicable for the arguments (double)]]"
granite4,Inventory Alert,DRL,false,0,1170,"ERROR: [ERR 102] Line 12:4 mismatched input 'query' in rule ""CheckLowStock""
ERROR: [ERR 102] Line 12:9 mismatched input ':' in query
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Inventory Alert,YAML,true,1,824,
granite4,Inventory Alert,ENGLISH,true,1,1626,
granite4,Loan Eligibility,DRL,false,0,781,"ERROR: [ERR 102] Line 14:11 mismatched input '>=' in rule ""Check Eligibility""
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Loan Eligibility,YAML,true,1,958,
granite4,Loan Eligibility,ENGLISH,true,1,1936,
granite4,Insurance Premium Tier,DRL,false,0,1540,"ERROR: [ERR 102] Line 11:4 mismatched input 'ruleflow' in rule ""Smoker Premium Tier""
ERROR: [ERR 102] Line 19:4 mismatched input 'ruleflow' in rule ""Non-Smoker Age Tier""
ERROR: [ERR 102] Line 27:4 mismatched input 'ruleflow' in rule ""Non-Smoker Younger Tier""
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Insurance Premium Tier,YAML,true,1,1798,
granite4,Insurance Premium Tier,ENGLISH,true,1,3256,
granite4,Tax Bracket,DRL,false,0,1609,"ERROR: [ERR 102] Line 10:4 mismatched input 'query' in rule ""IncomeLessThan30K""
ERROR: [ERR 102] Line 10:9 mismatched input ':' in query
ERROR: [ERR 102] Line 19:4 mismatched input 'query' in rule ""IncomeBetween30KAnd80K""
ERROR: [ERR 102] Line 19:9 mismatched input ':' in query
ERROR: [ERR 102] Line 28:4 mismatched input 'query' in rule ""IncomeAtLeast80K""
ERROR: [ERR 102] Line 28:9 mismatched input ':' in query
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Tax Bracket,YAML,false,0,1040,"ERROR: [ERR 102] Line 11:57 mismatched input 'and' in rule ""Assign Tax Rate Based on Income""
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Tax Bracket,ENGLISH,true,1,2741,
granite4,Status Transition,DRL,false,0,898,"ERROR: [ERR 102] Line 11:4 mismatched input 'query' in rule ""SetApprovalStatus""
ERROR: [ERR 102] Line 11:9 mismatched input ':' in query
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Status Transition,YAML,false,0,729,"ERROR: Missing type definition for fact type: Task
ERROR: Field 'currentStatus' used in rule but not declared in definition of type 'Task'
ERROR: Field 'action' used in rule but not declared in definition of type 'Task'"
granite4,Status Transition,ENGLISH,true,1,1626,
granite4,Priority Assignment,DRL,false,0,1699,"ERROR: [ERR 102] Line 10:4 mismatched input 'query' in rule ""AssignPriorityBasedOnSeverity""
ERROR: [ERR 102] Line 10:9 mismatched input ':' in query
ERROR: [ERR 102] Line 19:4 mismatched input 'query' in rule ""AssignPriorityBasedOnSeverity""
ERROR: [ERR 102] Line 19:9 mismatched input ':' in query
ERROR: [ERR 102] Line 28:4 mismatched input 'query' in rule ""AssignPriorityBasedOnSeverity""
ERROR: [ERR 102] Line 28:9 mismatched input ':' in query
ERROR: [ERR 102] Line 37:4 mismatched input 'query' in rule ""AssignPriorityBasedOnSeverity""
ERROR: [ERR 102] Line 37:9 mismatched input ':' in query
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
granite4,Priority Assignment,YAML,false,0,927,Execution successful
granite4,Priority Assignment,ENGLISH,true,1,2821,
granite4,Grade Calculation,DRL,false,0,2124,"ERROR: [ERR 102] Line 12:4 mismatched input 'query' in rule ""Assign Grade A""
ERROR: [ERR 102] Line 12:9 mismatched input ':' in query
ERROR: [ERR 102] Line 20:4 mismatched input 'query' in rule ""Assign Grade B""
ERROR: [ERR 102] Line 20:9 mismatched input ':' in query
ERROR: [ERR 102] Line 28:4 mismatched input 'query' in rule ""Assign Grade C""
ERROR: [ERR 102] Line 28:9 mismatched input ':' in query
ERROR: [ERR 102] Line 36:4 mismatched input 'query' in rule ""Assign Grade D""
ERROR: [ERR 102] Line 36:9 mismatched input ':' in query
ERROR: [ERR 102] Line 44:4 mismatched input 'query' in rule ""Assign Grade F""
ERROR: [ERR 102] Line 44:9 mismatched input ':' in query
ERROR: Parser returned a null Package
ERROR: Verifier could not form a PackageDescr from the resources that it was trying to verify."
